MesAno;Data
2003m1;01/01/2003
2003m2;01/02/2003
2003m3;01/03/2003
2003m4;01/04/2003
2003m5;01/05/2003
2003m6;01/06/2003
2003m7;01/07/2003
2003m8;01/08/2003
2003m9;01/09/2003
2003m10;01/10/2003
2003m11;01/11/2003
2003m12;01/12/2003
2004m1;01/01/2004
2004m2;01/02/2004
2004m3;01/03/2004
2004m4;01/04/2004
2004m5;01/05/2004
2004m6;01/06/2004
2004m7;01/07/2004
2004m8;01/08/2004
2004m9;01/09/2004
2004m10;01/10/2004
2004m11;01/11/2004
2004m12;01/12/2004
2005m1;01/01/2005
2005m2;01/02/2005
2005m3;01/03/2005
2005m4;01/04/2005
2005m5;01/05/2005
2005m6;01/06/2005
2005m7;01/07/2005
2005m8;01/08/2005
2005m9;01/09/2005
2005m10;01/10/2005
2005m11;01/11/2005
2005m12;01/12/2005
2006m1;01/01/2006
2006m2;01/02/2006
2006m3;01/03/2006
2006m4;01/04/2006
2006m5;01/05/2006
2006m6;01/06/2006
2006m7;01/07/2006
2006m8;01/08/2006
2006m9;01/09/2006
2006m10;01/10/2006
2006m11;01/11/2006
2006m12;01/12/2006
2007m1;01/01/2007
2007m2;01/02/2007
2007m3;01/03/2007
2007m4;01/04/2007
2007m5;01/05/2007
2007m6;01/06/2007
2007m7;01/07/2007
2007m8;01/08/2007
2007m9;01/09/2007
2007m10;01/10/2007
2007m11;01/11/2007
2007m12;01/12/2007
2008m1;01/01/2008
2008m2;01/02/2008
2008m3;01/03/2008
2008m4;01/04/2008
2008m5;01/05/2008
2008m6;01/06/2008
2008m7;01/07/2008
2008m8;01/08/2008
2008m9;01/09/2008
2008m10;01/10/2008
2008m11;01/11/2008
2008m12;01/12/2008
2009m1;01/01/2009
2009m2;01/02/2009
2009m3;01/03/2009
2009m4;01/04/2009
2009m5;01/05/2009
2009m6;01/06/2009
2009m7;01/07/2009
2009m8;01/08/2009
2009m9;01/09/2009
2009m10;01/10/2009
2009m11;01/11/2009
2009m12;01/12/2009
2010m1;01/01/2010
2010m2;01/02/2010
2010m3;01/03/2010
2010m4;01/04/2010
2010m5;01/05/2010
2010m6;01/06/2010
2010m7;01/07/2010
2010m8;01/08/2010
2010m9;01/09/2010
2010m10;01/10/2010
2010m11;01/11/2010
2010m12;01/12/2010
2011m1;01/01/2011
2011m2;01/02/2011
2011m3;01/03/2011
2011m4;01/04/2011
2011m5;01/05/2011
2011m6;01/06/2011
2011m7;01/07/2011
2011m8;01/08/2011
2011m9;01/09/2011
2011m10;01/10/2011
2011m11;01/11/2011
2011m12;01/12/2011
2012m1;01/01/2012
2012m2;01/02/2012
2012m3;01/03/2012
2012m4;01/04/2012
2012m5;01/05/2012
2012m6;01/06/2012
2012m7;01/07/2012
2012m8;01/08/2012
2012m9;01/09/2012
2012m10;01/10/2012
2012m11;01/11/2012
2012m12;01/12/2012
2013m1;01/01/2013
2013m2;01/02/2013
2013m3;01/03/2013
2013m4;01/04/2013
2013m5;01/05/2013
2013m6;01/06/2013
2013m7;01/07/2013
2013m8;01/08/2013
2013m9;01/09/2013
2013m10;01/10/2013
2013m11;01/11/2013
2013m12;01/12/2013
2014m1;01/01/2014
2014m2;01/02/2014
2014m3;01/03/2014
2014m4;01/04/2014
2014m5;01/05/2014
2014m6;01/06/2014
2014m7;01/07/2014
2014m8;01/08/2014
2014m9;01/09/2014
2014m10;01/10/2014
2014m11;01/11/2014
2014m12;01/12/2014
2015m1;01/01/2015
2015m2;01/02/2015
2015m3;01/03/2015
2015m4;01/04/2015
2015m5;01/05/2015
2015m6;01/06/2015
2015m7;01/07/2015
2015m8;01/08/2015
2015m9;01/09/2015
2015m10;01/10/2015
2015m11;01/11/2015
2015m12;01/12/2015
2016m1;01/01/2016
2016m2;01/02/2016
2016m3;01/03/2016
2016m4;01/04/2016
2016m5;01/05/2016
2016m6;01/06/2016
2016m7;01/07/2016
2016m8;01/08/2016
2016m9;01/09/2016
2016m10;01/10/2016
2016m11;01/11/2016
2016m12;01/12/2016
2017m1;01/01/2017
2017m2;01/02/2017
2017m3;01/03/2017
2017m4;01/04/2017
2017m5;01/05/2017
2017m6;01/06/2017
2017m7;01/07/2017
2017m8;01/08/2017
2017m9;01/09/2017
2017m10;01/10/2017
2017m11;01/11/2017
2017m12;01/12/2017
2018m1;01/01/2018
2018m2;01/02/2018
2018m3;01/03/2018
2018m4;01/04/2018
2018m5;01/05/2018
2018m6;01/06/2018
2018m7;01/07/2018
2018m8;01/08/2018
2018m9;01/09/2018
2018m10;01/10/2018
2018m11;01/11/2018
2018m12;01/12/2018
